SteamId,Username,Points,ThySirSlime,ThySirSlimePoints,justMaki,justMakiPoints,Diabler,DiablerPoints,PDGamer2502,PDGamer2502Points,[CTR]LexLimbo,[CTR]LexLimboPoints,Spuzzle,SpuzzlePoints,Akane,AkanePoints,Codewalt,CodewaltPoints,ocaj75,ocaj75Points,RuthlessTex,RuthlessTexPoints,Khord,KhordPoints,St Nicholas,St NicholasPoints,Llama_Lordie,Llama_LordiePoints,fabiendivie,fabiendiviePoints,deathcount610,deathcount610Points
76561199086270133,mvos88,"=IFERROR(E44 + G44 + I44 + K44 + M44 + O44 + Q44 + S44 + U44 + W44 + Y44 + AA44 + AC44 + AE44 + AG44, 0)",49.82877,0,72.02934,0,71.58667,0,43.92191,0,84.97551,0,53.52914,0,89.87794,0,80.09528,0,99.28408,0,,,55.25515,0,65.10207,0,81.14474,0,75.56715,0,,
76561198855034411,Grimmlon,"=IFERROR(E45 + G45 + I45 + K45 + M45 + O45 + Q45 + S45 + U45 + W45 + Y45 + AA45 + AC45 + AE45 + AG45, 0)",49.83055,0,75.11709,0,,,43.91698,0,88.02948,0,53.23503,0,,,86.9908,0,,,,,51.94277,0,67.82376,0,,,79.1607,0,60.89666,0
76561199064594284,DYHARD10,"=IFERROR(E46 + G46 + I46 + K46 + M46 + O46 + Q46 + S46 + U46 + W46 + Y46 + AA46 + AC46 + AE46 + AG46, 0)",50.38369,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198077077650,Michael97,"=IFERROR(E47 + G47 + I47 + K47 + M47 + O47 + Q47 + S47 + U47 + W47 + Y47 + AA47 + AC47 + AE47 + AG47, 0)",50.72121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198871631965,Cozmo_DaCat,"=IFERROR(E48 + G48 + I48 + K48 + M48 + O48 + Q48 + S48 + U48 + W48 + Y48 + AA48 + AC48 + AE48 + AG48, 0)",50.93558,0,72.51173,0,,,,,83.90346,0,,,,,,,,,,,,,,,,,,,,
76561199060323532,deathcount610,"=IFERROR(E49 + G49 + I49 + K49 + M49 + O49 + Q49 + S49 + U49 + W49 + Y49 + AA49 + AC49 + AE49 + AG49, 0)",50.99242,0,,,74.99393,0,44.18176,0,86.93989,0,56.70397,0,91.50657,0,78.83697,0,97.40379,0,92.36689,0,56.63152,0,,,,,72.6001,0,,
76561198123116932,nate69cam,"=IFERROR(E50 + G50 + I50 + K50 + M50 + O50 + Q50 + S50 + U50 + W50 + Y50 + AA50 + AC50 + AE50 + AG50, 0)",51.51142,0,73.55324,0,,,,,85.53079,0,53.28781,0,94.73395,0,79.15475,0,97.08104,0,,,56.84325,0,66.48564,0,77.43176,0,72.73431,0,61.76188,0
76561199058794667,Owl1214,"=IFERROR(E51 + G51 + I51 + K51 + M51 + O51 + Q51 + S51 + U51 + W51 + Y51 + AA51 + AC51 + AE51 + AG51, 0)",52.17805,0,,,,,,,,,,,,,,,109.7864,0,,,,,,,,,,,,
76561199083193027,ThySirSlime,"=IFERROR(E52 + G52 + I52 + K52 + M52 + O52 + Q52 + S52 + U52 + W52 + Y52 + AA52 + AC52 + AE52 + AG52, 0)",52.56654,0,,,84.40659,0,,,97.29119,0,62.20512,0,96.95144,0,84.25397,0,,,,,65.29655,0,,,,,,,,
76561198093258043,Kick Jerreinemy,"=IFERROR(E53 + G53 + I53 + K53 + M53 + O53 + Q53 + S53 + U53 + W53 + Y53 + AA53 + AC53 + AE53 + AG53, 0)",52.62221,0,75.12576,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198846673916,Matic_D,"=IFERROR(E54 + G54 + I54 + K54 + M54 + O54 + Q54 + S54 + U54 + W54 + Y54 + AA54 + AC54 + AE54 + AG54, 0)",52.63095,0,72.25718,0,,,41.09102,0,82.19418,0,53.47388,0,86.01467,0,77.48927,0,93.02555,0,85.00975,0,56.14591,0,,,73.81715,0,69.0675,0,56.75563,0
76561199372689806,rflood125,"=IFERROR(E55 + G55 + I55 + K55 + M55 + O55 + Q55 + S55 + U55 + W55 + Y55 + AA55 + AC55 + AE55 + AG55, 0)",53.80559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76561199156946272,gatlinggun511,"=IFERROR(E56 + G56 + I56 + K56 + M56 + O56 + Q56 + S56 + U56 + W56 + Y56 + AA56 + AC56 + AE56 + AG56, 0)",53.9851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198288239563,MetalBomb269,"=IFERROR(E57 + G57 + I57 + K57 + M57 + O57 + Q57 + S57 + U57 + W57 + Y57 + AA57 + AC57 + AE57 + AG57, 0)",54.63453,0,,,,,43.69115,0,124.8897,0,57.74741,0,,,,,,,,,,,,,,,,,,
76561197986125761,Loveless,"=IFERROR(E58 + G58 + I58 + K58 + M58 + O58 + Q58 + S58 + U58 + W58 + Y58 + AA58 + AC58 + AE58 + AG58, 0)",55.80226,0,75.84329,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76561197969997693,1Bad4x4,"=IFERROR(E59 + G59 + I59 + K59 + M59 + O59 + Q59 + S59 + U59 + W59 + Y59 + AA59 + AC59 + AE59 + AG59, 0)",61.33863,0,,,,,47.16972,0,,,,,,,,,,,,,,,,,,,,,,
76561198809831367,That1DudeYouHate,"=IFERROR(E60 + G60 + I60 + K60 + M60 + O60 + Q60 + S60 + U60 + W60 + Y60 + AA60 + AC60 + AE60 + AG60, 0)",65.3768,0,,,94.50489,0,58.52917,0,119.8376,0,57.76604,0,,,,,,,,,,,,,,,,,,
76561198021974488,[CTR] NathWalt,"=IFERROR(E61 + G61 + I61 + K61 + M61 + O61 + Q61 + S61 + U61 + W61 + Y61 + AA61 + AC61 + AE61 + AG61, 0)",46.88149,0,70.84605,0,67.32909,0,39.34824,0,75.93555,0,52.13405,0,80.01791,0,76.33879,0,90.91549,0,92.19765,0,49.23921,0,57.90273,0,70.06881,0,66.67818,0,55.14964,0
